word,JJ-0,NN-0
the,0,0
of,0,0
and,0,0
in,0,0
a,0,0
to,0,0
is,0,0
was,0,0
that,0,0
for,0,0
it,0,0
on,0,0
you,0,0
with,0,0
as,0,0
he,0,0
by,0,0
at,0,0
are,0,0
from,0,0
his,0,0
what,0,0
i,0,0
they,0,0
do,0,0
an,0,0
this,0,0
have,0,0
be,0,0
said,0,0
not,0,0
were,0,0
has,0,0
one,0,1
there,0,0
who,0,0
but,0,0
also,0,0
she,0,0
which,0,0
their,0,0
or,0,0
can,0,0
had,0,0
we,0,0
first,1,0
her,0,0
up,0,0
more,0,0
about,0,0
its,0,0
where,0,0
no,0,0
all,0,0
two,0,0
been,0,0
oh,0,0
like,0,0
did,0,0
other,1,0
when,0,0
would,0,0
out,0,0
some,0,0
people,0,0
okay,0,0
time,0,1
them,0,0
here,0,0
your,0,0
will,0,0
after,0,0
see,0,0
new,1,0
over,0,0
now,0,0
go,0,0
into,0,0
so,0,0
get,0,0
years,0,0
right,1,0
then,0,0
than,0,0
him,0,0
well,0,0
want,0,0
just,0,0
yeah,0,0
how,0,0
year,0,1
many,0,0
school,0,1
only,0,0
put,0,0
if,0,0
could,0,0
three,0,0
me,0,0
made,0,0
know,0,0
good,1,0
most,0,0
does,0,0
make,0,0
back,0,0
these,0,0
think,0,0
during,0,0
because,0,0
look,0,0
down,0,0
work,0,1
let,1,0
part,0,1
known,1,0
between,0,0
little,1,0
used,1,0
team,0,0
later,0,0
say,0,0
family,0,1
season,0,1
found,1,0
called,0,0
going,0,0
come,0,0
take,0,0
born,0,0
may,0,0
state,0,1
government,0,1
including,0,0
became,0,0
group,0,1
around,0,0
way,0,1
play,0,1
name,0,1
last,1,0
students,0,0
use,0,0
another,0,0
home,0,1
high,1,0
much,0,0
still,1,0
water,0,1
day,0,1
got,0,0
children,0,0
played,0,0
number,0,1
help,0,0
world,0,1
since,0,0
game,0,1
even,1,0
long,1,0
city,0,1
released,1,0
big,1,0
species,0,0
film,0,1
old,1,0
album,0,1
book,0,1
house,0,1
won,0,0
place,0,1
took,0,0
several,0,0
show,0,1
end,0,1
area,0,1
country,0,1
says,0,0
company,0,1
began,0,0
based,0,0
need,0,0
life,0,1
wanna,0,0
music,0,1
early,1,0
population,0,1
series,0,0
yes,0,0
national,1,0
million,0,0
small,1,0
left,1,0
went,0,0
different,1,0
public,1,1
village,0,1
former,1,0
states,0,0
held,0,0
away,0,0
following,1,0
money,0,1
came,0,0
song,0,1
next,1,0
something,0,1
president,0,1
mommy,0,0
member,0,1
food,0,1
find,0,1
located,0,0
set,0,1
named,0,0
women,0,0
died,0,0
building,0,1
started,0,0
give,0,0
received,1,0
really,0,0
head,0,1
huh,0,0
along,0,0
law,0,1
served,0,0
better,1,0
top,1,1
members,0,0
large,1,0
single,1,0
study,0,1
built,0,0
local,1,0
program,0,1
car,0,1
side,0,1
system,0,1
baby,0,1
white,1,0
line,0,1
eat,0,0
include,0,1
near,1,0
best,1,0
making,0,0
however,0,0
club,0,1
war,0,1
percent,0,0
north,1,0
century,0,1
games,0,0
things,0,0
become,0,0
south,1,0
father,0,1
together,0,0
black,1,0
often,0,0
might,0,0
man,0,1
open,1,0
young,1,0
men,0,0
service,0,1
final,1,1
schools,0,0
tell,0,0
published,0,0
history,0,1
working,1,0
daddy,0,1
important,1,0
every,0,0
band,0,1
story,0,1
live,1,0
today,0,0
among,0,0
football,0,1
led,0,0
police,0,1
though,0,0
change,0,1
within,0,0
families,0,0
son,0,1
moved,0,0
death,0,1
never,0,0
days,0,0
district,0,1
station,0,1
times,0,0
without,0,0
others,0,0
using,0,0
works,0,0
career,0,1
included,0,0
support,0,1
community,0,1
run,0,0
playing,1,0
great,1,0
research,0,1
university,0,1
record,0,1
due,0,0
health,0,1
town,0,1
military,0,1
major,1,1
age,0,1
half,1,0
worked,0,0
turn,0,1
scientists,0,0
late,1,0
wrote,0,0
business,0,1
less,0,0
across,0,0
else,0,0
week,0,1
main,1,0
must,0,0
mother,0,1
education,0,1
lot,0,1
lost,1,0
goes,0,0
college,0,1
player,0,1
keep,0,0
land,0,1
level,0,1
given,1,0
announced,1,0
enough,0,0
us,0,0
able,1,0
read,0,0
kind,0,1
class,0,1
international,1,0
kids,0,0
census,0,1
hard,1,0
boy,0,1
countries,0,0
united,1,0
full,1,0
already,0,0
red,1,0
parents,0,0
try,0,0
order,0,1
director,0,1
video,0,1
thought,0,1
seen,0,0
far,1,0
form,0,1
described,1,0
joined,0,0
alright,1,0
free,1,0
start,0,1
night,0,0
created,1,0
done,0,0
site,0,1
power,0,1
party,0,1
gave,0,0
win,0,1
church,0,1
point,0,1
players,0,0
west,1,0
information,0,1
ball,0,1
close,1,0
role,0,1
round,1,0
getting,0,0
told,0,0
almost,0,0
according,0,0
months,0,0
animals,0,0
outside,1,0
art,0,1
period,0,1
groups,0,0
lead,0,0
case,0,1
saw,0,1
added,1,0
american,1,1
nice,1,0
officials,0,0
established,1,0
project,0,1
air,0,1
title,0,1
general,1,1
center,0,1
returned,0,0
political,1,0
written,1,0
areas,0,0
move,0,1
finished,1,0
original,1,0
sit,0,0
social,1,0
hand,0,1
teams,0,0
job,0,1
sure,0,0
ago,0,0
short,1,0
control,0,1
love,0,1
produced,1,0
election,0,1
room,0,1
